region,country_code,country_name,city_name,event_area,month,event_name,event_type,description,event_url,enabled,display_order
ASIA,JP,일본,도쿄,"메이지진구 신사, 센소지 절 등",1,하쓰모데,HOLIDAY,새해를 맞아 신사나 절을 참배하고 소원을 비는 일본의 대표적인 신년 풍습입니다. 도쿄에서는 메이지진구 신사와 센소지 절 등이 대표 명소입니다.,https://www.gotokyo.org/kr/story/guide/january/index.html,true,1
ASIA,JP,일본,도쿄,고쿄/황궁,1,신년 일반참하,CULTURE,"매년 1월 2일에 열리는 황궁 신년 행사로, 일반인이 고쿄를 방문해 황실에 새해 축하의 마음을 전할 수 있는 특별 행사입니다.",https://www.gotokyo.org/kr/story/guide/january/index.html,true,2
ASIA,JP,일본,도쿄,우에노 도쇼구 모란원,1,우에노 도쇼구 겨울모란,NATURE,우에노 온시 공원 안의 우에노 도쇼구 모란원에서 겨울철 모란을 감상할 수 있는 계절 이벤트입니다.,https://www.gotokyo.org/kr/story/guide/january/index.html,true,3
ASIA,JP,일본,도쿄,"하무라시, 히노시, 오메시 등",1,다루마 시장,CULTURE,"장수, 장사 번성, 목표 달성의 상징으로 여겨지는 다루마를 구입할 수 있는 도쿄의 신년 전통 시장입니다.",https://www.gotokyo.org/kr/story/guide/january/index.html,true,4
ASIA,JP,일본,도쿄,마바시 이나리 신사,2,하쓰우마사이,CULTURE,"2월 첫 우마의 날에 이나리 신사에서 오곡풍양을 기원하는 전통 제례입니다. 도쿄에서는 마바시 이나리 신사에서 전통의식, 음악, 떡메치기 등을 경험할 수 있습니다.",https://www.gotokyo.org/kr/story/guide/february/index.html,true,5
ASIA,JP,일본,도쿄,오지 이나리 신사,2,연 시장,CULTURE,"오지 이나리 신사에서 에도 시대부터 이어져 온 전통 시장입니다. 화재방지 부적으로 여겨지는 연을 구입하는 행사로, 매년 2월 우마의 날에 열립니다.",https://www.gotokyo.org/kr/story/guide/february/index.html,true,6
ASIA,JP,일본,도쿄,"오쿠니타마 신사, 센소지 절, 조조지 절 등",2,세쓰분,HOLIDAY,"2월 초에 열리는 일본 전통 행사로 봄의 시작을 알리고 복을 맞이한다는 의미를 가집니다. 오쿠니타마 신사, 센소지 절, 조조지 절 등에서 세쓰분 축제를 즐길 수 있습니다.",https://www.gotokyo.org/kr/story/guide/february/index.html,true,7
ASIA,JP,일본,도쿄,가사이 임해공원,2,가사이 임해공원 수선화 축제,NATURE,도쿄 만과 후지산을 조망할 수 있는 가사이 임해공원에서 수선화가 만발하는 시기에 열리는 꽃 축제입니다.,https://www.gotokyo.org/kr/story/guide/february/index.html,true,8
ASIA,JP,일본,도쿄,"향토의 숲 공원, 세타가야, 분쿄 등",2,매화 축제,NATURE,"2월 초순부터 매화가 피기 시작하며, 향토의 숲 공원 매화 축제, 세타가야 매화 축제, 분쿄 매화 축제 등 도쿄 각지에서 봄을 알리는 행사가 열립니다.",https://www.gotokyo.org/kr/story/guide/february/index.html,true,9
ASIA,JP,일본,도쿄,이즈오시마,3,이즈오시마 동백 축제,NATURE,도쿄의 섬 지역인 이즈오시마에서 동백꽃을 즐길 수 있는 봄꽃 축제입니다. 동백꽃 꽃잎을 활용한 직물 염색 체험도 즐길 수 있습니다.,https://www.gotokyo.org/kr/story/guide/march/index.html,true,10
